"Lp.","Ulica","Nr ewidencyjny ulicy",,,"Długość [m]","Pole powierzchni jezdni [m2]"
"453","Gorajska","PJ","G","62","743","4800"
"454","Gorczycowa","PS","F","103","71","320"
"455","Gorczyczewskiego Jana","PJ","G","61","120","719"
"456","Gorlicka","PN","G","61","239","840"
"457","Gorzowska","PG","G","104","230","1088"
"458","Gorzyńska","PJ","G","105","272","1633"
"459","Gorzysława","PN","G","62","903","4978"
"460","Gosienieckiego Wiktora","PW","G","43","175","685"
"461","Gospodarska","PN","G","63","2185","9031"
"462","Gostyńska","PG","G","58","587","2936"
"463","Gostyńska","PW","G","166","900","4259"
"464","Gościnna","PN","G","653","988","3110"
"465","Goździkowa","PG","G","106","109","239"
"466","Góra Przemysła","PS","G","46","72","296"
"467","Góralska","PJ","G","63","221","1243"
"468","Górczyńska","PG","G","59","468","3740"
"469","Górecka","PG","F","891","346","2865"
"470","Górki","PG","G","60","326","1945"
"471","Górnicza","PG","G","61","445","2502"
"472","Górska","PN","G","64","156","1063"
"473","Grabowa","PW","G","44","355","1986"
"474","Grabowska","PG","F","107","97","692"
"475","Gradowa","PS","F","520","160","738"
"476","Grajewska","PJ","G","473","350","1984"
"477","Granatowa","PS","F","471","341","1824"
"478","Graniczna","PG","G","62","189","2003"
"479","Graniowa","PG","G","63","105","368"
"480","Granowska","PG","G","64","453","1468"
"481","Grąbczowska","PG","G","65","304","1836"
"482","Grimma Wilhelma","PG","G","66","263","1532"
"483","Grobelnego Józefa Edwarda","PG","G","108","175","558"
"484","Grobla","PS","G","48","579","5341"
"485","Grochmalickiego Jana","PS","F","557","138","597"
"486","Grochowe Łąki","PS","G","49","206","2100"
"487","Grochowiaka Stanisława","PJ","F","95","191","1157"
"488","Grodnicka","PN","G","65","591","3156"
"489","Grodzieńska","PN","F","514","423","3047"
"490","Grodziska","PG","G","67","567","2784"
"491","Grodziska","PJ","G","178","527","2764"
"492","Gromadzka","PS","G","50","351","1921"
"493","Gronostajowa","PN","G","109","222","1200"
"494","Gronowa","PS","G","51","405","3659"
"495","Grota-Roweckiego Stefana","PS","G","110","104","443"
"496","Grotkowska","PG","G","68","332","1757"
"497","Grottgera Artura","PG","G","69","253","2512"
"498","Grójecka","PN","G","66","93","364"
"499","Grudziądzka","PJ","F","111","112","395"
"500","Grudzieniec","PJ","G","64","1736","8766"
"501","Gruntowa","PG","F","574","154","672"
"502","Gruszkowa","PW","G","45","268","702"
"503","Gruzińska","PS","F","112","397","2019"
"504","Gryfińska","PG","G","70","513","1544"
"505","Grześkiewicza Adama","PW","G","46","94","572"
"506","Grzmota-Skotnickiego Stanisława","PS","G","470","105","828"
"507","Grzybowa","PW","G","47","185","777"
"508","Gubińska","PG","G","71","140","422"
"509","Guliwera","PG","G","113","102","645"
"510","Gwarna","PS","P","60060","87","719"
"511","Gwiaździsta","PG","G","72","468","2231"
"512","Haber-Włyńskiego Adama","PJ","G","65","196","675"
"513","Hajduczka","PG","G","73","167","883"
